Handle,Follow Up Message
@everybodyisbeautifulmedspa,Hey Everybody Is Beautiful Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Everybody Is Beautiful Med Spa is actively focused on right now?
@facebyjacquie,Hey Jacquie — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Peace Love Med Aesthetic is actively focused on right now?
@skinapeelspa,Hey Skin Apeel Day Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Skin Apeel Day Spa is actively focused on right now?
@elevationewestpalmbeach,Hey Élévatione Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Élévatione Med Spa is actively focused on right now?
@facialmaniamedspadelray,Hey Facial Mania Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Facial Mania Med Spa is actively focused on right now?
@sanctuarymedicalaesthetics,Hey Sanctuary Medical Center — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Sanctuary Medical Center is actively focused on right now?
@thelanespa,Hey The Lane Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something The Lane Spa is actively focused on right now?
@anushkaspa,Hey Anushka — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Anushka Spa & Salon is actively focused on right now?
@jackie_hydrinity,Hey Jackie — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Laser Skin & Wellness is actively focused on right now?
@skindivalabs,Hey Bella Reina Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Bella Reina Spa is actively focused on right now?
@hillary.the.pa,Hey Hillary — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Delray Dermatology and Cosmetic Center is actively focused on right now?
@beverlyhillsmedispa,Hey Beverly Hills Wellness Center — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Beverly Hills Wellness Center is actively focused on right now?
@inspireaesthetics_,Hey Inspire Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Inspire Aesthetics is actively focused on right now?
@edendayspabocaraton,Hey Eden Day Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Eden Day Spa is actively focused on right now?
@rhw_bocaraton,Hey Restore Hyper Wellness — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Restore Hyper Wellness is actively focused on right now?
@23aesthetics_,Hey 23 Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something 23 Aesthetics is actively focused on right now?
@beautyhealth_medspa,Hey Beauty Health MedSpa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Beauty Health MedSpa is actively focused on right now?
@pacboca,Hey Prestige — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Prestige is actively focused on right now?
@salonoasismedspaboca,Hey Salon Oasis Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Salon Oasis Med Spa is actively focused on right now?
@mia_aestheticstudio,Hey Mia — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Mia Aesthetic Studio is actively focused on right now?
@vitaminhealthinfusion,Hey Vitamin Health Infusion — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Vitamin Health Infusion is actively focused on right now?
@drmylissasmedicalboutique,Hey Dr. Mylissa's Medical Boutique — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Dr. Mylissa's Medical Boutique is actively focused on right now?
@explore,Hey Zarreii Medical and Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Zarreii Medical and Aesthetics is actively focused on right now?
@jackie_hydrinity,Hey Jackie — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Laser Skin & Wellness is actively focused on right now?
@basisaesthetics_,Hey Basis Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Basis Aesthetics is actively focused on right now?
@touchofclassdayspacoralsprings,Hey Touch of Class Day Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Touch of Class Day Spa is actively focused on right now?
@skinclubsfl,Hey Skin Club — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Skin Club is actively focused on right now?
@uniquewellnesscenter,Hey Unique Wellness Center — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Unique Wellness Center is actively focused on right now?
@dripenvy_,Hey Drip Envy — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Drip Envy is actively focused on right now?
@palmbeachlaserandaesthetic,Hey Palm Beach Laser & Aesthetic — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Palm Beach Laser & Aesthetic is actively focused on right now?
@athenamedspaandsalon,Hey Athena Med Spa and Salon — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Athena Med Spa and Salon is actively focused on right now?
@lovemyskinlaser,Hey Love My Skin Laser & Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Love My Skin Laser & Aesthetics is actively focused on right now?
@blushlounge_aesthetics,Hey Blush Lounge Medspa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Blush Lounge Medspa is actively focused on right now?
@greenwellnesscentre,Hey Green Wellness Centre & Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Green Wellness Centre & Med Spa is actively focused on right now?
@cr8health,Hey Cr8 Health Wellness & Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Cr8 Health Wellness & Aesthetics is actively focused on right now?
@bespokeaestheticspb,Hey Bespoke Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Bespoke Aesthetics is actively focused on right now?
@dermagen_medspa,Hey Dermagen spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Dermagen spa is actively focused on right now?
@svetflorida,Hey Ora Wellness and Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Ora Wellness and Aesthetics is actively focused on right now?
@pureskinpalmbeach,Hey Pure Skin Palm Beach — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Pure Skin Palm Beach is actively focused on right now?
@aquaauraspa,Hey Aquaaura — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Aqua Aura Spa & Wellness is actively focused on right now?
@tedxdelraybeach.official,Hey Official — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Prime IV Hydration & Wellness is actively focused on right now?
@essentialsspa_pb,Hey Essentials Spa of — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Essentials Spa of is actively focused on right now?
@r3.health,Hey R3 Health — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something R3 Health is actively focused on right now?
@glamormedical,Hey Glamor — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Glamor Medical is actively focused on right now?
@facialmaniamedspaboca,Hey Facial Mania Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Facial Mania Med Spa is actively focused on right now?
@viomedspa.delray,Hey VIO Med Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something VIO Med Spa is actively focused on right now?
@del_aesthetics,Hey Del Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Del Aesthetics is actively focused on right now?
@aestheticsmedspaa,Hey Aesthetics Care Medspa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Aesthetics Care Medspa is actively focused on right now?
@star.medspa,Hey STAR MED SPA — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something STAR MED SPA is actively focused on right now?
@nutriflomedspa,Hey Nutriflo — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something NutriFlo Medspa and IV Lounge is actively focused on right now?
@hamiltonaestheticspalmbeach,Hey Hamilton Aesthetics — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Hamilton Aesthetics is actively focused on right now?
@dolce_boca_raton,Hey Dolce — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Dolce Medical Spa is actively focused on right now?
@boyntonbeachchamber,Hey Injection Perfection Medical Spa — just wanted to follow up on what I sent over. Quick question: is getting inactive clients to rebook something Injection Perfection Medical Spa is actively focused on right now?
